item            ,price  ,count ,manager        ,date       ,remark
panky公仔         ,-34    ,300   ,zhangyanling77 ,2019-10-17 ,
麦客短信群发          ,-41    ,1     ,TechQuery      ,2019-10-22 ,
麦客表单10日加速包      ,-109   ,1     ,TechQuery      ,2019-10-23 ,
桁架              ,-1500  ,1     ,               ,           ,
X展架             ,-35    ,15    ,               ,           ,
标识泡沫板（自拍、引导、讲台） ,-60    ,8     ,               ,           ,
茶歇              ,-3200  ,2     ,               ,           ,
瓶装水             ,-1     ,600   ,               ,           ,
环保布袋            ,-5     ,120   ,               ,           ,
讲师伴手礼           ,-100   ,14    ,               ,           ,
工作午餐            ,-20    ,70    ,               ,           ,
讲师晚宴            ,-70    ,20    ,               ,           ,
讲师宾馆            ,-300   ,16    ,               ,           ,
分会场场地           ,-1600  ,1     ,               ,           ,
志愿者、组织者证书       ,       ,40    ,               ,           ,
钻石赞助            ,+10000 ,1     ,               ,           ,
铜牌赞助            ,+5000  ,1     ,               ,           ,
门票收入            ,+256   ,400   ,               ,           ,
